code;name;category;unit_price;description;notes;attr_name_1;attr_value_1;attr_unit_1;attr_type_1;attr_name_2;attr_value_2;attr_unit_2;attr_type_2;attr_name_3;attr_value_3;attr_unit_3;attr_type_3
RXB-WVB-8-900-Li-m;;Kayýþ;0,408672;;;Uzunluk;900;mm;number;Tipi;8;;text;Aðýrlýk;0,0378;kg;number
RXB-WVB-8-925-Li-m;;Kayýþ;0,420024;;;Uzunluk;925;mm;number;Tipi;8;;text;Aðýrlýk;0,03885;kg;number
RXB-WVB-8-950-Li-m;;Kayýþ;0,431376;;;Uzunluk;950;mm;number;Tipi;8;;text;Aðýrlýk;0,0399;kg;number
RXB-WVB-8-975-Li-m;;Kayýþ;0,442728;;;Uzunluk;975;mm;number;Tipi;8;;text;Aðýrlýk;0,04095;kg;number
RXB-WVB-8-1000-Li-m;;Kayýþ;0,45408;;;Uzunluk;1000;mm;number;Tipi;8;;text;Aðýrlýk;0,042;kg;number
RXB-WVB-8-1025-Li-m;;Kayýþ;0,465432;;;Uzunluk;1025;mm;number;Tipi;8;;text;Aðýrlýk;0,04305;kg;number
RXB-WVB-8-1050-Li-m;;Kayýþ;0,476784;;;Uzunluk;1050;mm;number;Tipi;8;;text;Aðýrlýk;0,0441;kg;number
RXB-WVB-8-1075-Li-m;;Kayýþ;0,488136;;;Uzunluk;1075;mm;number;Tipi;8;;text;Aðýrlýk;0,04515;kg;number
RXB-WVB-8-1100-Li-m;;Kayýþ;0,499488;;;Uzunluk;1100;mm;number;Tipi;8;;text;Aðýrlýk;0,0462;kg;number
RXB-WVB-8-1125-Li-m;;Kayýþ;0,51084;;;Uzunluk;1125;mm;number;Tipi;8;;text;Aðýrlýk;0,04725;kg;number
RXB-WVB-8-1150-Li-m;;Kayýþ;0,522192;;;Uzunluk;1150;mm;number;Tipi;8;;text;Aðýrlýk;0,0483;kg;number
RXB-WVB-8-1175-Li-m;;Kayýþ;0,533544;;;Uzunluk;1175;mm;number;Tipi;8;;text;Aðýrlýk;0,04935;kg;number
RXB-WVB-8-1200-Li-m;;Kayýþ;0,544896;;;Uzunluk;1200;mm;number;Tipi;8;;text;Aðýrlýk;0,0504;kg;number
RXB-WVB-8-1225-Li-m;;Kayýþ;0,556248;;;Uzunluk;1225;mm;number;Tipi;8;;text;Aðýrlýk;0,05145;kg;number
